"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ethereum","ETH","Ethereum",2017-10-06,2,295.15,308.84,294.95,308.59,318664000,28031059968,0.982,13.89
"ethereum","ETH","Ethereum",2017-10-07,2,308.89,313.13,304.98,311.12,342204992,29340370944,0.7534,8.15
"ethereum","ETH","Ethereum",2017-10-08,2,311.06,312.54,308.03,308.61,293167008,29550901248,0.1286,4.51
"ethereum","ETH","Ethereum",2017-10-09,2,308.67,309.31,288.18,297.39,559467008,29328332800,0.4359,21.13
"ethereum","ETH","Ethereum",2017-10-10,2,297.6,306.15,293.17,299.87,359705984,28281407488,0.5162,12.98
"ethereum","ETH","Ethereum",2017-10-11,2,301.18,304.39,299.1,303.46,264146000,28626298880,0.8242,5.29
"ethereum","ETH","Ethereum",2017-10-12,2,303.5,309.15,303.29,304.14,527556992,28851191808,0.1451,5.86
"ethereum","ETH","Ethereum",2017-10-13,2,304.08,348.6,299.66,338.76,1304359936,28911118336,0.7989,48.94
"ethereum","ETH","Ethereum",2017-10-14,2,338.85,347.98,334.7,339.63,516561984,32222433280,0.3712,13.28
"ethereum","ETH","Ethereum",2017-10-15,2,339.53,342.72,320.43,336.6,635406976,32292085760,0.7254,22.29
"ethereum","ETH","Ethereum",2017-10-16,2,336.71,349.35,332.04,333.38,692884992,32029241344,0.0774,17.31
"ethereum","ETH","Ethereum",2017-10-17,2,333.48,333.48,311.79,317.08,509924000,31727747072,0.2439,21.69
"ethereum","ETH","Ethereum",2017-10-18,2,316.94,317.24,290.64,314.32,606113984,30160478208,0.8902,26.6
"ethereum","ETH","Ethereum",2017-10-19,2,314.54,316.71,305.83,308.09,349830016,29937942528,0.2077,10.88
"ethereum","ETH","Ethereum",2017-10-20,2,308.05,311.44,303.49,304.01,396672992,29326307328,0.0654,7.95
"ethereum","ETH","Ethereum",2017-10-21,2,303.57,303.93,291.77,300.19,408014016,28906563584,0.6924,12.16
"ethereum","ETH","Ethereum",2017-10-22,2,300.55,305.5,292.81,295.45,327387008,28624836608,0.208,12.69
"ethereum","ETH","Ethereum",2017-10-23,2,295.1,295.75,277.58,286.95,482336000,28111425536,0.5157,18.17
"ethereum","ETH","Ethereum",2017-10-24,2,287.12,311.96,282.66,298.33,684281024,27357478912,0.5348,29.3
"ethereum","ETH","Ethereum",2017-10-25,2,298.44,301.85,290.72,297.92,325040000,28441989120,0.6469,11.13
"ethereum","ETH","Ethereum",2017-10-26,2,298.02,301.07,295.22,296.53,270272992,28408424448,0.2239,5.85
