"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ripple","XRP","XRP",2017-09-21,3,0.180981,0.182109,0.171148,0.171754,43583200,6939501056,0.0553,0.01
"ripple","XRP","XRP",2017-09-22,3,0.171567,0.17587,0.169291,0.17351,37244700,6578531840,0.6413,0.01
"ripple","XRP","XRP",2017-09-23,3,0.173371,0.178672,0.171527,0.177882,32476700,6647695872,0.8894,0.01
"ripple","XRP","XRP",2017-09-24,3,0.178175,0.178939,0.174165,0.175787,20566500,6831897088,0.3398,0
"ripple","XRP","XRP",2017-09-25,3,0.175519,0.183665,0.174939,0.181487,35622600,6730081280,0.7504,0.01
"ripple","XRP","XRP",2017-09-26,3,0.181968,0.191247,0.180085,0.186119,70000704,6977337344,0.5406,0.01
"ripple","XRP","XRP",2017-09-27,3,0.185297,0.207687,0.185098,0.203299,249934000,7105013760,0.8057,0.02
"ripple","XRP","XRP",2017-09-28,3,0.202532,0.203271,0.191344,0.196131,117962000,7765862400,0.4014,0.01
"ripple","XRP","XRP",2017-09-29,3,0.196105,0.196203,0.187172,0.193606,72291200,7519417856,0.7124,0.01
"ripple","XRP","XRP",2017-09-30,3,0.193824,0.199826,0.193497,0.197529,54729300,7431966720,0.6371,0.01
"ripple","XRP","XRP",2017-10-01,3,0.197622,0.207185,0.19617,0.206532,51345500,7577590784,0.9407,0.01
"ripple","XRP","XRP",2017-10-02,3,0.206077,0.206556,0.199444,0.202676,77412304,7901788160,0.4544,0.01
"ripple","XRP","XRP",2017-10-03,3,0.203209,0.204808,0.19873,0.203318,48703100,7791817216,0.7549,0.01
"ripple","XRP","XRP",2017-10-04,3,0.203218,0.217024,0.202647,0.214774,123573000,7792169472,0.8435,0.01
"ripple","XRP","XRP",2017-10-05,3,0.215583,0.241023,0.215583,0.237016,404299008,8266277376,0.8425,0.03
"ripple","XRP","XRP",2017-10-06,3,0.237726,0.242424,0.233533,0.234039,167492000,9115314176,0.0569,0.01
"ripple","XRP","XRP",2017-10-07,3,0.233963,0.239336,0.233478,0.23861,77950200,9030319104,0.8761,0.01
"ripple","XRP","XRP",2017-10-08,3,0.238312,0.279944,0.237532,0.279944,529838016,9198178304,1,0.04
"ripple","XRP","XRP",2017-10-09,3,0.278758,0.278758,0.24043,0.251825,610110016,10759281664,0.2973,0.04
"ripple","XRP","XRP",2017-10-10,3,0.252825,0.26656,0.241193,0.260733,384048992,9758310400,0.7703,0.03
"ripple","XRP","XRP",2017-10-11,3,0.260658,0.267843,0.25908,0.264439,161206000,10061509632,0.6115,0.01
"ripple","XRP","XRP",2017-10-12,3,0.265046,0.267468,0.248414,0.248414,245004000,10230906880,0,0.02
"ripple","XRP","XRP",2017-10-13,3,0.248285,0.26425,0.238867,0.260489,398688992,9583923200,0.8518,0.03
"ripple","XRP","XRP",2017-10-14,3,0.26115,0.267721,0.25732,0.25732,211160000,10062528512,0,0.01
"ripple","XRP","XRP",2017-10-15,3,0.257537,0.268419,0.249048,0.263983,280211008,9923312640,0.771,0.02
"ripple","XRP","XRP",2017-10-16,3,0.263386,0.291359,0.24901,0.256232,963158016,10148686848,0.1705,0.04
"ripple","XRP","XRP",2017-10-17,3,0.256098,0.263147,0.222939,0.232064,411264992,9867863040,0.2269,0.04
"ripple","XRP","XRP",2017-10-18,3,0.231216,0.23815,0.207265,0.21852,354224992,8909100032,0.3644,0.03
"ripple","XRP","XRP",2017-10-19,3,0.218229,0.23179,0.208317,0.21515,304542016,8408705024,0.2911,0.02
"ripple","XRP","XRP",2017-10-20,3,0.215086,0.223822,0.208754,0.210549,182704000,8287602176,0.1191,0.02
"ripple","XRP","XRP",2017-10-21,3,0.210189,0.212381,0.200774,0.211016,116807000,8098915840,0.8824,0.01
"ripple","XRP","XRP",2017-10-22,3,0.210958,0.211901,0.200722,0.204177,75849504,8128521728,0.3091,0.01
"ripple","XRP","XRP",2017-10-23,3,0.203504,0.203919,0.190729,0.196928,99914800,7841328640,0.47,0.01
"ripple","XRP","XRP",2017-10-24,3,0.195567,0.217508,0.190455,0.206644,220080992,7535481344,0.5984,0.03
"ripple","XRP","XRP",2017-10-25,3,0.207113,0.208237,0.201803,0.204604,75017504,7980367360,0.4353,0.01
"ripple","XRP","XRP",2017-10-26,3,0.204444,0.206289,0.20266,0.203628,38193100,7877527040,0.2667,0
"ripple","XRP","XRP",2017-10-27,3,0.203668,0.204492,0.201771,0.202785,29623000,7847645184,0.3727,0
"ripple","XRP","XRP",2017-10-28,3,0.202592,0.203476,0.201401,0.201835,26864900,7806197760,0.2092,0
"ripple","XRP","XRP",2017-10-29,3,0.201358,0.205209,0.200075,0.202785,62511100,7758644224,0.5279,0.01
"ripple","XRP","XRP",2017-10-30,3,0.203076,0.204135,0.201946,0.202711,34835100,7824821760,0.3495,0
"ripple","XRP","XRP",2017-10-31,3,0.202405,0.203778,0.200461,0.200558,43875700,7798991360,0.0292,0
"ripple","XRP","XRP",2017-11-01,3,0.200247,0.201501,0.193613,0.194124,67921000,7715838976,0.0648,0.01
"ripple","XRP","XRP",2017-11-02,3,0.194596,0.211848,0.183815,0.205861,197770000,7498092032,0.7864,0.03
"ripple","XRP","XRP",2017-11-03,3,0.206205,0.228026,0.201728,0.208133,373401984,7945412096,0.2436,0.03
"ripple","XRP","XRP",2017-11-04,3,0.208083,0.208479,0.202133,0.20375,74013200,8017766400,0.2548,0.01
"ripple","XRP","XRP",2017-11-05,3,0.203274,0.205124,0.201117,0.202055,46959000,7832454144,0.2341,0
"ripple","XRP","XRP",2017-11-06,3,0.201967,0.208662,0.20141,0.20599,102233000,7782083072,0.6315,0.01
"ripple","XRP","XRP",2017-11-07,3,0.205103,0.211375,0.203978,0.210354,114073000,7902915072,0.862,0.01
"ripple","XRP","XRP",2017-11-08,3,0.210675,0.221458,0.20806,0.217437,156959008,8117615104,0.6999,0.01
"ripple","XRP","XRP",2017-11-09,3,0.217911,0.221791,0.214866,0.217488,147916992,8396438528,0.3786,0.01
"ripple","XRP","XRP",2017-11-10,3,0.218256,0.219068,0.20526,0.206483,141032992,8409736704,0.0886,0.01
"ripple","XRP","XRP",2017-11-11,3,0.205948,0.214456,0.205459,0.21043,134503008,7935490560,0.5525,0.01
"ripple","XRP","XRP",2017-11-12,3,0.210214,0.210214,0.195389,0.197339,251175008,8099862016,0.1315,0.01
"ripple","XRP","XRP",2017-11-13,3,0.197472,0.204081,0.197456,0.203442,132567000,7608889344,0.9035,0.01
"ripple","XRP","XRP",2017-11-14,3,0.203679,0.213693,0.203679,0.209825,127361000,7866672640,0.6137,0.01
"ripple","XRP","XRP",2017-11-15,3,0.208937,0.213105,0.208058,0.212956,100294000,8069732864,0.9705,0.01
"ripple","XRP","XRP",2017-11-16,3,0.212655,0.27179,0.209287,0.227107,1022579968,8213362688,0.2851,0.06
"ripple","XRP","XRP",2017-11-17,3,0.224768,0.239409,0.220273,0.226581,397071008,8681190400,0.3296,0.02
"ripple","XRP","XRP",2017-11-18,3,0.226547,0.230399,0.222399,0.228627,144298000,8749903872,0.7785,0.01
"ripple","XRP","XRP",2017-11-19,3,0.22814,0.236231,0.226037,0.231016,193808000,8811412480,0.4884,0.01
"ripple","XRP","XRP",2017-11-20,3,0.231336,0.24343,0.230917,0.238759,214663008,8934851584,0.6267,0.01
"ripple","XRP","XRP",2017-11-21,3,0.237978,0.240974,0.2272,0.233271,217851008,9191393280,0.4408,0.01
"ripple","XRP","XRP",2017-11-22,3,0.232642,0.240848,0.232317,0.238859,167078000,8985303040,0.7669,0.01
"ripple","XRP","XRP",2017-11-23,3,0.238991,0.250096,0.237304,0.242402,240684992,9230518272,0.3985,0.01
"ripple","XRP","XRP",2017-11-24,3,0.242851,0.245388,0.238421,0.244642,211486000,9379597312,0.8929,0.01
"ripple","XRP","XRP",2017-11-25,3,0.244178,0.2557,0.243584,0.252393,212592992,9430846464,0.7271,0.01
"ripple","XRP","XRP",2017-11-26,3,0.252914,0.252914,0.248589,0.248818,133297000,9768272896,0.0529,0
"ripple","XRP","XRP",2017-11-27,3,0.248305,0.254733,0.247861,0.253927,196735008,9590235136,0.8827,0.01
"ripple","XRP","XRP",2017-11-28,3,0.254037,0.301084,0.253415,0.299152,720742976,9811652608,0.9595,0.05
"ripple","XRP","XRP",2017-11-29,3,0.297867,0.297867,0.239409,0.243064,541177984,11504494592,0.0625,0.06
"ripple","XRP","XRP",2017-11-30,3,0.246433,0.261524,0.229586,0.250878,270907008,9517940736,0.6667,0.03
"ripple","XRP","XRP",2017-12-01,3,0.250352,0.258828,0.239438,0.255699,182992000,9669294080,0.8386,0.02
"ripple","XRP","XRP",2017-12-02,3,0.255656,0.259218,0.250756,0.255492,118250000,9874185216,0.5597,0.01
"ripple","XRP","XRP",2017-12-03,3,0.25553,0.263072,0.247391,0.252558,134710000,9869306880,0.3295,0.02
"ripple","XRP","XRP",2017-12-04,3,0.252919,0.255362,0.24716,0.253571,104650000,9768475648,0.7816,0.01
"ripple","XRP","XRP",2017-12-05,3,0.253598,0.253988,0.245234,0.246101,174591008,9815993344,0.099,0.01
"ripple","XRP","XRP",2017-12-06,3,0.245416,0.245705,0.227742,0.232544,274526016,9507189760,0.2673,0.02
"ripple","XRP","XRP",2017-12-07,3,0.232623,0.23376,0.22134,0.222823,275204992,9011627008,0.1194,0.01
"ripple","XRP","XRP",2017-12-08,3,0.223636,0.278673,0.222168,0.252125,660172032,8663455744,0.5302,0.06
"ripple","XRP","XRP",2017-12-09,3,0.252162,0.255684,0.240073,0.244708,205288992,9768543232,0.2969,0.02
"ripple","XRP","XRP",2017-12-10,3,0.245548,0.245548,0.229304,0.237333,198174000,9512332288,0.4943,0.02
"ripple","XRP","XRP",2017-12-11,3,0.236574,0.252777,0.235804,0.251691,176100992,9164665856,0.936,0.02
"ripple","XRP","XRP",2017-12-12,3,0.252258,0.434102,0.250961,0.373541,1555040000,9772241920,0.6693,0.18
"ripple","XRP","XRP",2017-12-13,3,0.372689,0.513768,0.342964,0.471063,2738759936,14437636096,0.75,0.17
